,user_name,text
45,LeGoBo_,"@sonataopso @nightmareMemes1 Yo intenté, pero mi manejo de paint no es tan avanzado."
46,LeGoBo_,"@a_doctrinador @JERobledo Ok, me parece bien que a cada crítica respondamos con la condescendencia de llamarlo machismo."
47,LeGoBo_,"""Si le subo a la gasolina ya no les va a alcanzar para quemar todo"" https://t.co/97nVaFU6Xu"
48,LeGoBo_,"@a_doctrinador @JERobledo No responda recurriendo a falacias, ataques y evasivas. Discurso de Robledo siempre ha puesto a los ministros cómo subalternos del gobierno, lo hizo con Duque y lo hace con Vélez, porque es subalterna de Petro. Y le adjunto algunas funciones del MinMinas: ADOPTAR los planes (...) https://t.co/QfEfQmUUKR"
49,LeGoBo_,@a_doctrinador ¿La orientación de un gobierno no la da el presidente? ¿No son subalternos los ministros del presidente?
50,LeGoBo_,@DaniAlejandroM @gean010 https://t.co/PJ9eFdlyxa
51,LeGoBo_,"A la granizada gringa responderemos con una tormenta tropical. 
En Colombia y dentro de esta causa, cumpliremos con el deber de ser su aguzado vigía. https://t.co/ElX2jtOxGZ"
52,LeGoBo_,"Para EEUU la presencia militar es un necesario factor para demostrar su poderío y está sometido a no poder asumir posturas pacíficas duraderas, por lo que a toda intervención militar emprendida tuvo que adornar con banderas de ""libertad, democracia y civilización"" (Valencia,2001)"
53,LeGoBo_,Es evidente el actuar antinacional de Petro y muestra su actuar y afinidad con los intereses geopolíticos estadounidenses en América Latina ¿Recuerdan a Petro comparando su agenda con la de Biden? Pues ahí lo tienen. https://t.co/mxs2qtwf7W
54,LeGoBo_,"Los planes de Estados Unidos y gobierno Petro sobre la Amazonia colombiana deben ser rechazados por los sectores democráticos de Colombia, incluso por los afines al gobierno y que se están viendo asaltados en su buena fe."
55,LeGoBo_,"Cuando el presidente Petro era senador y se discutía la llegada de tropas estadounidenses permitida por gobierno de Iván Duque, dijo ""Duque viola soberanía igual que EEUU viola a mujeres colombianas"". Hoy sabemos que su preocupación por la soberanía era hipócrita y oportunista. https://t.co/DkdhHPcaC2"
56,LeGoBo_,"De León (2020) pone de manifiesto como los acuerdos de inmunidad impiden que la justicia colombiana juzgue los delitos que cometen los militares y mercenarios estadounidenses en Colombia, sin que las víctimas sean reparadas ni con la posibilidad de aspirar a qué se haga justicia. https://t.co/wnqLBjy7V2"
57,LeGoBo_,Se denuncia que entre 2003 y 2007 fueron violadas al menos 53 niñas por personal estadounidense asentado en la base militar de Tolemaida. Las menores también habrían sido grabadas y el material vendido como pornografía infantil (BBC 2015).
58,LeGoBo_,"Además de las inherentes violaciones a la soberanía nacional que implica la presencia de estas tropas, también están las múltiples denuncias por sus tropelías a lo largo y ancho del mundo, obviamente, incluyendo a Colombia. https://t.co/5Ze3nZ1k7X"
59,LeGoBo_,"El interés de EEUU en la Amazonia colombiana no es ecológico, es económico: vienen por nuestros recursos hídricos, minerales, fauna y flora. El cuidado de las selvas solo es una coartada para permitir la profundización del saqueo que ya ha permitido anteriormente el uribismo. https://t.co/js0qHovDoz"
60,LeGoBo_,"Salgado (2009) explica cómo, ante la carencia de la riqueza biológica en los países del norte que sí tiene los bosques y selvas tropicales, los ojos para el desarrollo de las empresas biotecnológicas (la gran mayoría de EEUU) se enfocan en nuestras selvas. https://t.co/QB6RmfWG6P"
61,LeGoBo_,"La realidad es otra; en 2022 la vicepresidenta de EEUU presentó el plan de la Casa Blanca para la seguridad hídrica, destacando en su discurso la siguiente frase: ""Muchos de nuestros intereses de seguridad nacional más fundamentales dependen de la seguridad del agua"". https://t.co/pAcKjx6SeX"
62,LeGoBo_,"Bajo este argumento, una cooperación militar con EEUU permitiría que sus poderosos helicópteros de guerra vuelen sobre las selvas amazónicas colombianas ""para apagar incendios"". Hay dos posibilidades para creerse esta excusa: o ignorar totalmente la geopolítica o ser muy estúpido https://t.co/2MQYqR7Xlm"
63,LeGoBo_,"Sin embargo, y ante el cambio de discurso en la ""lucha contra las drogas"" que desde la misma Casa Blanca se ha impulsado, EEUU necesita una nueva excusa para hacer presencia militar en Colombia y al parecer encontraron el cebo para la carnada perfecto: ""la Seguridad Humana"". https://t.co/ZpYBbSDZVs"
64,LeGoBo_,"Para el tránsito y estacionamiento ilegal de las tropas estadounidenses, además de la alcahuetería de la clase política gobernante, también han recurrido a excusas. Una de las más manidas desde la década de 1970 es la de la lucha contra el narcotráfico y el terrorismo. https://t.co/Cr8Kr5G5Qj"
65,LeGoBo_,"Entre paréntesis: el tratado de 1952 se enmarca en el TIAR, un tratado que autoriza la intervención de EEUU en casos de agresión de un Estado parte contra otro, fue elogiado en 2020 por el presidente Petro: ""El TIAR no es para hacer guerras"" 👇
 https://t.co/22MOHWw7jB"
66,LeGoBo_,"Amparados en esos tratados, la vendepatria clase gobernante colombiana ha permitido históricamente el tránsito de tropas estadounidenses por nuestro territorio nacional. 
Trabajos académicos como el de @mjsarmientoa (2012) han mostrado hasta la saciedad su ilegalidad. https://t.co/6xE4M7Kv4Y"
67,LeGoBo_,"¿Y Colombia qué pitos toca? 🇨🇴 tiene 3 tratados de cooperación militar con EEUU (de 1952, 1962 y 1974). Los tratados de 1962 y 1974 ni siquiera fueron aprobados por Congreso, sino que fueron impuestos al gobierno colombiano pasando por encima del ordenamiento jurídico nacional. https://t.co/qqpkVCbnBY"
68,LeGoBo_,"La presencia militar de EEUU está asentada en estratégicas regiones del mundo y principalmente en países con avanzado poderío económico, como Japón y Corea del Sur, o Alemania y Reino Unido, que pese a estar alineados con su política internacional sufren sus consecuencias. https://t.co/fuz6w0DBhK"
69,LeGoBo_,"1 de cada 3 soldados al servicio de la milicia estadinense reside en una base militar asentada fuera de las fronteras de EEUU. Un despliegue militar, bélico y económico que ningún imperio en la historia de la humanidad ha conocido: EEUU es el imperio más grande de la historia. https://t.co/52snmiFkfU"
70,LeGoBo_,"EE.UU tiene 800 bases militares alrededor del mundo, que albergan 173.000 tropas, apalancado en presupuesto militar de 700.000 millones de dólares, mucho más que cualquier otro país 
¿En serio creen que helicópteros militares de EEUU vienen al Amazonas a apagar incendios? 👇👇 https://t.co/9XmAyJhvF9"
71,LeGoBo_,"@AndrsPi23964861 @jhonvidales23 @kawelcita @elReneJimenez No crea, ayer le mostré la misma gráfica e información a un tipo que tiene abejas y aguacates en el nombre y me respondió que por eso, que yo le daba la razón, que la mayoría del transporte de carga es con acpm. No hay peor ciego que el que no quiere ver."
72,LeGoBo_,@jhonvidales23 @kawelcita @elReneJimenez @AndrsPi23964861 La mitad del transporte de carga utiliza gasolina. https://t.co/JWIUZv8LqQ
73,LeGoBo_,@GustavoBolivar 🤦🤦🤦
